,video_id,video_timestamp,video_duration,video_locationcreated,suggested_words,video_diggcount,video_sharecount,video_commentcount,video_playcount,video_description,video_is_ad,video_stickers,author_username,author_name,author_followercount,author_followingcount,author_heartcount,author_videocount,author_diggcount,author_verified,hashtags
143,7321981697241681195,2024-01-09T01:29:29,26.0,US,[],95100.0,455.0,217.0,991300.0,That post winning the National Championship hug from your parents hits different 💙 #Michigan #GoBlue #MichiganWolverines #cfpnationalchampionship ,False,,yahoosports,Yahoo Sports,,,,,,True,"['michigan', 'goblue', 'michiganwolverines', 'cfpnationalchampionship']"
151,7321972249399938346,2024-01-09T00:52:45,9.0,US,"['michigan football', ' Michigan', ' michigan vs washington', ' michigan national championship', ' college football', ' football', ' Football Player', ' college football championship', ' football athletes', ' chair']",59400.0,353.0,160.0,724500.0,Michigan players are taking National Championship chairs after the win 🪑#michigan #collegefootball #chair #champions #cfb ,False,,yahoosports,Yahoo Sports,,,,,,True,"['michigan', 'collegefootball', 'chair', 'champions', 'cfb']"
163,7321952460371791150,2024-01-08T23:35:36,13.0,US,"['stefon diggs standing on the field', ' washington vs michigan', ' washington', ' washington after game', ' michigan football', ' Washington', ' D.C.', ' Michigan Basketball', ' Michigan', ' Washington Tiktok', ' washington state']",16600.0,59.0,385.0,193200.0,#Washington after losing to #Michigan in the #nationalchampionship 💔 #cfp,False,,espn,ESPN,,,,,,True,"['washington', 'michigan', 'nationalchampionship', 'cfp']"
164,7321952715305717034,2024-01-08T23:36:45,17.0,US,[],7562.0,13.0,64.0,219300.0,#michigan #washington #nationalchampionship #cfp #cfb ,False,,espn,ESPN,,,,,,True,"['michigan', 'washington', 'nationalchampionship', 'cfp', 'cfb']"
165,7321954188009704746,2024-01-08T23:42:24,12.0,US,[],8133.0,47.0,40.0,131300.0,😂😂😂 #cfb #cfp #nationalchampionship #football #michigan #icebath ,False,,espn,ESPN,,,,,,True,"['cfb', 'cfp', 'nationalchampionship', 'football', 'michigan', 'icebath']"
166,7321954277654564142,2024-01-08T23:42:44,24.0,US,[],6234.0,44.0,53.0,109400.0,All the emotions 🥹 #cfbplayoff #michigan #washington #jimharbaugh ,False,,espn,ESPN,,,,,,True,"['cfbplayoff', 'michigan', 'washington', 'jimharbaugh']"
167,7321954405492821278,2024-01-08T23:43:35,10.0,US,[],3657.0,8.0,42.0,77300.0,#michigan fans have message for #jimharbaugh after winning the #nationalchampionship 🗣️ #football ,False,,espn,ESPN,,,,,,True,"['michigan', 'jimharbaugh', 'nationalchampionship', 'football']"
168,7321955361743818026,2024-01-08T23:46:58,13.0,US,"['michigan vs washington', ' Will Johnson', ' college football', ' College Football Videos', ' college football championship', ' Michigan Football', ' Johnson', ' michigan', ' wilson michigan player', ' michigan vs alabama']",16800.0,166.0,245.0,300000.0,Will Johnson feelin’ himself after the W 🔥 #Michigan #nationalchampionship #ring #collegefootball #cfb ,False,,espn,ESPN,,,,,,True,"['michigan', 'nationalchampionship', 'ring', 'collegefootball', 'cfb']"
169,7321955703449554206,2024-01-08T23:48:38,6.0,US,[],12900.0,67.0,87.0,134900.0,#michigan #football #nationalchampionship #family ,False,,espn,ESPN,,,,,,True,"['michigan', 'football', 'nationalchampionship', 'family']"
170,7321956216706501930,2024-01-08T23:50:14,24.0,US,"['michigan vs washington', ' michigan', ' College Football', ' michigan football', ' college football championship', ' College Football Videos', ' michigan wins', ' college football playoff', ' michigan stadium', ' Michigan State']",64400.0,345.0,848.0,704000.0,#michigan #collegefootball #rings #champions ,False,,espn,ESPN,,,,,,True,"['michigan', 'collegefootball', 'rings', 'champions']"
171,7321957415509970206,2024-01-08T23:55:20,5.0,US,"['trentejones', ' Lineman Football', ' Michigan Football', ' college football', ' huskies vs michigan', ' michigan vs washington', ' college football championship', ' huskies football', ' trente holding vs washington', ' michigan lineman tiktok']",59300.0,66.0,437.0,606000.0,#Michigan lineman has #jokes 🤣 #college #football #nationalchampionship #cfb #washington ,False,,espn,ESPN,,,,,,True,"['michigan', 'jokes', 'college', 'football', 'nationalchampionship', 'cfb', 'washington']"
172,7321959893186006315,2024-01-09T00:04:43,10.0,US,[],100500.0,1911.0,176.0,728100.0,Ben was such a good boy this season #kirkherbstreit #dogsoftiktok #collegefootball #sportscenterwithscottvanpelt ,False,,espn,ESPN,,,,,,True,"['kirkherbstreit', 'dogsoftiktok', 'collegefootball', 'sportscenterwithscottvanpelt']"
173,7321961348789783851,2024-01-09T00:10:19,9.0,US,"['jj mccarthy', ' jj mccarthy signed camera', ' lewis hamilton camera sign', ' michigan vs washington', ' jj signing camera', ' ceede signing camera', ' michigan', ' jj mccarthy edit', ' Camera', ' Football']",113700.0,215.0,619.0,1500000.0,That’s tough 😂 #michigan #collegefootball #camera ,False,,espn,ESPN,,,,,,True,"['michigan', 'collegefootball', 'camera']"
174,7321968398131350826,2024-01-09T00:37:38,18.0,US,[],7521.0,63.0,83.0,119700.0,#Michigan with their victory cigars after winning the #nationalchampionship 🔥 #cfp #cfb,False,,espn,ESPN,,,,,,True,"['michigan', 'nationalchampionship', 'cfp', 'cfb']"
175,7321968399708359979,2024-01-09T00:37:48,79.0,US,[],3155.0,12.0,36.0,65000.0,All the sights and sounds from the CFP #NationalChampionship (📍@AT&T) #collegefootball #michigan #washington ,False,,espn,ESPN,,,,,,True,"['nationalchampionship', 'collegefootball', 'michigan', 'washington']"
176,7321969049414470954,2024-01-09T00:40:14,21.0,US,"['jj mccarthy', ' michigan vs washington', ' Michigan Football', ' Michigan', ' michigan stadium', ' michigan reaction', ' JJ Mccarthy Ryan Keeler', ' michigan vs alabama', ' J.J. McCarthy Combine', ' J.J. McCarthy Edits']",37300.0,116.0,146.0,318200.0,#jjmccarthy #michigan #cfb #nationalchampionship #cfp ,False,,espn,ESPN,,,,,,True,"['jjmccarthy', 'michigan', 'cfb', 'nationalchampionship', 'cfp']"
177,7321969558808464671,2024-01-09T00:42:29,23.0,US,"['jack harbaugh', ' jim harbaugh nfl', ' michigan vs washington', ' john harbaugh superbowl', ' jack harbaugh championship', ' jack harbaugh national championship', ' jack harbaugh brother', ' harbaugh brothers', ' jim harbaugh 49ers', ' michigan']",177900.0,1466.0,1098.0,2300000.0,#JimHarbaugh #Harbaugh #Michigan #NationalChampionship #football ,False,,espn,ESPN,,,,,,True,"['jimharbaugh', 'harbaugh', 'michigan', 'nationalchampionship', 'football']"
178,7321970434336132398,2024-01-09T00:45:54,14.0,US,[],18400.0,8.0,78.0,290300.0,#Class act 🤝 #michigan #collegefootball #cfb #nationalchampionship #BlakeCorum,False,,espn,ESPN,,,,,,True,"['class', 'michigan', 'collegefootball', 'cfb', 'nationalchampionship', 'blakecorum']"
179,7321974492358528286,2024-01-09T01:01:37,12.0,US,[],4845.0,31.0,34.0,105400.0,#michigan #college #football #family #nationalchampionship #blakecorum #washington ,False,,espn,ESPN,,,,,,True,"['michigan', 'college', 'football', 'family', 'nationalchampionship', 'blakecorum', 'washington']"
180,7321975724636802335,2024-01-09T01:06:26,24.0,US,[],16400.0,50.0,332.0,136100.0,#michigan #football #nationalchampions #wordsofwisdom ,False,,espn,ESPN,,,,,,True,"['michigan', 'football', 'nationalchampions', 'wordsofwisdom']"
181,7321977573687184683,2024-01-09T01:13:05,8.0,US,[],13800.0,100.0,117.0,426300.0,The Buffs are tough 🔥🕶️ (h/t JomiAdeniran/X) #michigan #harbaugh #buffs #cfb #nationalchampionship #collegefootball ,False,,espn,ESPN,,,,,,True,"['michigan', 'harbaugh', 'buffs', 'cfb', 'nationalchampionship', 'collegefootball']"
182,7321979630343261483,2024-01-09T01:21:36,6.0,US,"['lewis hamilton camera sign', ' michigan vs washington', ' jj mccarthy', ' Michigan', ' Lewis Hamilton', ' jj mccarthy highlights', ' michigan national championship', ' camera sign', ' jj mccarthy edit', ' michigan football']",483300.0,1251.0,2792.0,5900000.0,🔥🔥 (🎥: @College Football Playoff) #michigan #jjmccarthy #nationalchampionship #cfb #collegefootball #cfbplayoffs ,False,,espn,ESPN,,,,,,True,"['michigan', 'jjmccarthy', 'nationalchampionship', 'cfb', 'collegefootball', 'cfbplayoffs']"
185,7321962958118980906,2024-01-09T00:16:26,0.0,US,[],5367.0,33.0,358.0,43900.0,#michigan #cfpplayoffs #nationalchampionship #michiganfootball #fyp #viral #trending #collegefootball #washington ,False,,prvnnce,￶,,,,,,False,"['michigan', 'cfpplayoffs', 'nationalchampionship', 'michiganfootball', 'fyp', 'viral', 'trending', 'collegefootball', 'washington']"
193,7322095143430016286,2024-01-09T08:50:15,0.0,US,[],146.0,0.0,5.0,1492.0,he just got back bro 😔 hope you okay there Ja 🙏 #jamorant #memphis #espn #nba #basketball #foryou #foryoupage #fyp #viral #trend #news #breakingnews ,False,,chrislovesnba,Chris 🏀,,,,,,False,"['jamorant', 'memphis', 'espn', 'nba', 'basketball', 'foryou', 'foryoupage', 'fyp', 'viral', 'trend', 'news', 'breakingnews']"
